$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
Cyxtera Technologies, Inc.                  -0.565186063 0.1212588 -0.004727251
DAEGIS INC.                                 -0.601048188 0.1212588 -0.004727251
DANGER INC                                  -0.608839703 0.1212588 -0.004727251
DAS Inc                                     -0.569181880 0.1212588 -0.004727251
DATA DIMENSIONS INC                         -0.498958379 0.1212588 -0.004727251
Data443 Risk Mitigation, Inc.               -0.443965104 0.1212588 -0.004727251
DATACARD CORP                               -0.384605437 0.1212588 -0.004727251
Datadog, Inc.                               -0.603241547 0.1212588 -0.004727251
DATALINK CORP                               -0.648824964 0.1212588 -0.004727251
DATAMETRICS CORP                            -0.068976769 0.1212588 -0.004727251
DATAPATH INC                                -0.590199443 0.1212588 -0.004727251
DataStax, Inc.                              -0.605071183 0.1212588 -0.004727251
DATATEC SYSTEMS INC                         -0.772784552 0.1212588 -0.004727251
DATATRAK INTERNATIONAL INC                  -0.521594145 0.1212588 -0.004727251
DATAWATCH CORP                              -0.538971914 0.1212588 -0.004727251
DATAWORKS CORP                              -0.679300389 0.1212588 -0.004727251
DAVIDSON & ASSOCIATES INC                   -0.239241841 0.1212588 -0.004727251
Dayforce, Inc.                              -0.593449709 0.1212588 -0.004727251
DDI CORP                                    -0.563204295 0.1212588 -0.004727251
Dealertrack Technologies, Inc               -0.639941708 0.1212588 -0.004727251
DecisionPoint Systems, Inc.                 -0.039332568 0.1212588 -0.004727251
Definitive Healthcare Corp.                 -0.619954825 0.1212588 -0.004727251
DELL INC                                    -0.526002747 0.1212588 -0.004727251
Dell Technologies Inc.                      -0.464630187 0.1212588 -0.004727251
DeltaSoft Corp                              -0.476594201 0.1212588 -0.004727251
DELTEK, INC                                 -0.618591826 0.1212588 -0.004727251
DemandTec, Inc.                             -0.449370215 0.1212588 -0.004727251
Demandware Inc                              -0.595011216 0.1212588 -0.004727251
DESCARTES SYSTEMS GROUP INC                 -0.573725999 0.1212588 -0.004727251
DETAILS INC                                 -0.689085177 0.1212588 -0.004727251
DETERMINE, INC.                             -0.600086696 0.1212588 -0.004727251
DIALOG SEMICONDUCTOR PLC                     0.010171974 0.1212588 -0.004727251
DIALOGIC CORP                               -0.218842834 0.1212588 -0.004727251
Diamond Lane, Inc.                          -0.568673327 0.1212588 -0.004727251
DIEBOLD NIXDORF, Inc                        -0.545187873 0.1212588 -0.004727251
DIGI INTERNATIONAL INC                      -0.444954547 0.1212588 -0.004727251
DIGIMARC CORP                               -0.494159752 0.1212588 -0.004727251
DIGITAL LINK CORP                           -0.574263672 0.1212588 -0.004727251
Digital Systems, Inc.                       -0.565252414 0.1212588 -0.004727251
Diligent Corp                               -0.551338413 0.1212588 -0.004727251
DIRTT ENVIRONMENTAL SOLUTIONS LTD           -0.524783086 0.1212588 -0.004727251
DISH LTD                                    -0.585855867 0.1212588 -0.004727251
DIVX INC                                    -0.657561009 0.1212588 -0.004727251
DMI INC /CO/                                -0.573209703 0.1212588 -0.004727251
Docebo Inc.                                 -0.609576708 0.1212588 -0.004727251
DOCUSIGN, INC.                              -0.555396240 0.1212588 -0.004727251
